Label,Price,Nutshell Product ID,Comments,EZCater Name and Customization,EZCater Customization,Old Item Name,Product Text Archive,Subcategory Text Archive,GC Value Text Archive,EZC Menu Item,Product,Subcategory,Gift Card Amount
Gluten-Friendly Salad Boxed Lunch - Chef Salad,$13.99 ,515-products,,Gluten-Friendly Chef Salad Boxed Lunch,,,Gluten-Friendly Salad Boxed Lunch,Chef Salad,,,Gluten-Friendly Salad Boxed Lunch,Chef Salad,
Gluten-Friendly Salad Boxed Lunch - Garden Salad,$13.99 ,515-products,,Gluten-Friendly Garden Salad Boxed Lunch,,,Gluten-Friendly Salad Boxed Lunch,Garden Salad,,,Gluten-Friendly Salad Boxed Lunch,Garden Salad,
Gluten-Friendly Boxed Lunch - Smoked Turkey Classic Wrap,$13.99 ,379-products,,Gluten-Friendly Wrap Boxed Lunch - Smoked Turkey Classic Wrap,Smoked Turkey Classic Wrap,,Gluten-Friendly Boxed Lunch,Smoked Turkey Classic Wrap,,,Gluten-Friendly Boxed Lunch,Smoked Turkey Classic Wrap,
Ham & Cheddar Biscuit Box,$29.99 ,403-products,,Honey Baked Ham & Cheddar Biscuit Box,,,Ham & Cheddar Biscuit Box,,,,Ham & Cheddar Biscuit Box,,
Pastry Tray,$1.99 ,55-products,,Breakfast Pastry Tray,,,Pastry Tray,,,,Pastry Tray,,
Coffee Cake Tray - Most Popular,$2.99 ,59-products,,Coffee Cake Tray - Most Popular,Most Popular,,Coffee Cake Tray,Most Popular,,,Coffee Cake Tray,Most Popular,
Garden Salad - Balsamic Vinaigrette,$32.99 ,107-products,,,,,,,,Y,,,
Garden Salad - Most Popular,$32.99 ,107-products,,,,,,,,Y,,,
Garden Salad - Assorted,$32.99 ,107-products,,,,,,,,Y,,,
Honey Baked Plate - Roasted Turkey Breast,$16.99 ,247-products,,,,,,,,Y,,,
Honey Baked Plate - Smoked Turkey Breast,$16.99 ,247-products,,,,,,,,Y,,,
Honey Baked Plate - Assorted,$16.99 ,247-products,,,,,,,,Y,,,
Honey Baked Plate - HoneyBaked Ham,$16.99 ,247-products,,,,,,,,Y,,,
Gluten-Friendly Chef Salad Boxed Lunch,$13.99 ,515-products,,,,,,,,Y,,,
Gluten-Friendly Chef Salad Boxed Lunch - Variety (Ranch & Italian Only),$13.99 ,515-products,,,,,,,,Y,,,
Gluten-Friendly Garden Salad Boxed Lunch,$13.99 ,515-products,,,,,,,,Y,,,
Gluten-Friendly Wrap Boxed Lunch - California Veggie Wrap,$13.99 ,379-products,,,,,,,,Y,,,
Gluten-Friendly Wrap Boxed Lunch - Smoked Turkey Classic Wrap,$13.99 ,379-products,,,,,,,,Y,,,
Gluten-Friendly Wrap Boxed Lunch - Roasted Turkey Classic Wrap,$13.99 ,379-products,,,,,,,,Y,,,
Gluten-Friendly Wrap Boxed Lunch - Ham Classic Wrap,$13.99 ,379-products,,,,,,,,Y,,,
Gluten-Friendly Wrap Boxed Lunch,$13.99 ,379-products,,,,,,,,Y,,,
Gluten-Friendly Garden Salad Boxed Lunch - Ranch Dressing,$13.99 ,515-products,,,,,,,,Y,,,
Gluten-Friendly Chef Salad Boxed Lunch - Ranch Dressing,$13.99 ,515-products,,,,,,,,Y,,,
Garden Salad - Italian Dressing,$32.99 ,107-products,,,,,,,,Y,,,
Gluten-Friendly Chef Salad Boxed Lunch - Italian Dressing,$13.99 ,515-products,,,,,,,,Y,,,
Garden Salad - Ranch Dressing,$32.99 ,107-products,,,,,,,,Y,,,
Chef Salad - No Dressing,$37.99 ,555-products,,,,,,,,Y,,,
Assorted Cookies,$1.99 ,67-products,,,,,,,,Y,,,
Broccoli Bacon Bliss Salad,$2.99 ,83-products,,,,,,,,Y,,,
Broccoli Bacon Bliss Salad - Assorted,$2.99 ,83-products,,,,,,,,Y,,,
Broccoli Bacon Bliss Salad - Serving Bowl,$2.99 ,83-products,,,,,,,,Y,,,
Broccoli Bacon Bliss Salad - Tray Packaging,$2.99 ,83-products,,,,,,,,Y,,,
Broccoli Bacon Bliss Salad - Individual Packaging,$2.99 ,83-products,,,,,,,,Y,,,
Smashed Potato Salad,$2.99 ,87-products,,,,,,,,Y,,,
Smashed Potato Salad - Serving Bowl,$2.99 ,87-products,,,,,,,,Y,,,
